基隆門市
基隆深溪店
基隆孝一店
台北門市
台北開封店
北投公館店
中山南西店
大橋延三店
北投中和店
台北古亭店
科技大樓店
台北昆陽店
台北景美店
台北政大店
龍山寺店
中山遼寧店
台北延吉店
內湖康寧店
內湖江南店
台北大安店
大安信義店
台北大直店
天母德行東店
台北長春店
松山饒河店
忠孝新生店
石牌裕民店
中正南昌店
內湖瑞光店
台北南港店
台北市政店
台北萬芳店
台北公館店
台北錦州店
南京三民店
信義永春店
台北伊通店
台北通化店
士林大北店
內湖民權店
台北晴光店
台北站前店
新北門市
中和福祥店
新莊佳瑪店
板橋莒光店
板橋中正店
新北八里店
三重五華店
三峽文化店
鶯歌建國店
板橋忠孝店
淡水北新店
永安市場店
汐止忠孝東店
新莊輔大店
泰山明志店
樹林中山店
板橋江子翠店
中和景安店
中和景新店
土城明德店
新店寶橋店
三重三和店
蘆洲光華店
新莊化成店
竹圍民生店
新莊五權店
三峽北大店
新莊新泰店
板橋埔墘店
樹林站前店
中和環球店
汐止中興店
林口三井店
淡水清水店
土城學府店
三重正義店
蘆洲民族店
新莊民安店
中和民樂店
新莊幸福店
板橋中山店
新店民權店
永和頂溪店
板橋陽明店
桃園門市
平鎮南豐店
大園菓林店
新屋民族店
中路特區店
觀音成功店
八德興豐店
大溪復興店
南崁忠孝西店
中壢龍岡店
新莊迴龍店
桃園寶山店
林口長庚店
內壢榮民店
桃園龍安店
觀音大觀店
中壢新生店
大園中山北店
八德廣福店
埔心文化店
中壢健行店
桃園中平店
蘆竹大竹店
平鎮文化店
青埔華泰店
中壢站前店
平鎮中豐店
龍潭東龍店
中壢內壢店
桃園統領店
中壢南園店
八德桃鶯店
龜山中興店
楊梅大成店
蘆竹南崁店
桃園南平店
中壢中山店
桃園中正店
中壢中原店
桃園新屋店
新竹門市
湖口勝利店
新埔中正店
竹北家樂福店
新竹站前店
湖口站前店
新竹關埔店
竹北遠百店
新竹食品店
竹東東林店
竹北中正西店
新竹城隍店
新竹光華店
竹科園區店
竹東長春店
新豐建興店
竹北福興店
新竹巨城店
湖口中華店
竹北三民店
新竹清大店
新竹香山店
新竹金山店
苗栗門市
苗栗苑里店
苗栗中正店
竹南博愛店
苗栗府前店
頭份建國店
頭份尚順店
台中門市
大雅學府店
太平長億店
台中龍井店
台中健行店
台中西屯店
豐原南陽店
台中東勢店
潭子勝利店
東山軍功店
梧棲文化店
台中精誠店
第二市場店
台中大墩店
北屯四平店
太平中興店
沙鹿靜宜店
神岡中山店
台中后里店
台中烏日店
台中清水店
東區十甲店
大里中興店
大甲順天店
北屯崇德店
台中大智店
太平樹孝店
台中黎明店
豐原廟東店
大雅民生店
台中漢口店
沙鹿中山店
西屯中科店
東海遊園店
大里成功店
逢甲福星店
台中一中店
台中工學店
台中青海店
霧峰中正店
台中向上店
彰化門市
鹿港鹿東店
彰化彰南店
彰化二林店
彰化花壇店
員林中正店
彰化民族店
永靖瑚璉店
彰化秀水店
彰化北斗店
彰化和美店
員林靜修店
彰化中正店
鹿港民權店
彰化溪湖店
南投門市
南投竹山店
南投埔里店
南投民族店
南投草屯店
雲林門市
雲林北港店
雲林斗南店
雲林斗六店
雲林虎尾店
嘉義門市
嘉義後庄店
嘉義民雄店
嘉義朴子店
嘉義民族店
台南門市
南科樹谷店
台南安和店
台南新化店
台南文賢店
麻豆中山店
台南仁德店
台南歸仁店
台南佳里店
台南安南店
台南市醫店
台南新興店
善化中山店
台南公園店
台南東安店
永康大橋店
新營中山店
新市南科店
台南大灣店
台南青年店
高雄門市
仁武仁雄店
高雄瑞豐店
楠梓藍昌店
高雄左大店
高雄旗山店
高雄橋頭店
左營後昌店
高雄新光店
高雄青海店
高雄西子灣店
高雄林園店
高雄武廟店
高雄大寮店
左營崇德店
高雄鼎中店
高雄正興店
高雄仁武店
高雄路竹店
岡山維仁店
前鎮瑞隆店
左營裕誠店
楠梓德賢店
鳳山五甲店
文山特區店
高雄大社店
高雄文化店
漢神自強店
高雄自立店
高雄熱河店
鳳山光遠店
小港漢民店
屏東門市
屏東萬丹店
小琉球店
屏東內埔店
屏東東港店
屏東廣東店
潮州新生店
屏東勝利店
宜蘭門市
宜蘭中山店
羅東民權店
花蓮門市
花蓮中美店
花蓮中正店
花蓮中山店
台東門市
台東正氣店
澎湖門市
澎湖馬公店
金門門市
金門金城店
